full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
bafodé_diakité,Bournemouth,DF,5.0,5,Liverpool,True,0,0,62,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1312,17170,916,2228
veljko_milosavljevic,Bournemouth,DF,4.9,5,Liverpool,True,0,0,63,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-21,843,74,95
adam_smith,Bournemouth,DF,4.5,5,Liverpool,True,74,2,64,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.8,0.0,0.0,0,2,0,0,1,0.00,0.02,0.02,1.40,45,-1163,13093,818,1981
julián_araujo zúñiga,Bournemouth,DF,4.4,5,Liverpool,True,0,0,65,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,44,-50,1281,101,151
julio_soler barreto,Bournemouth,DF,4.0,5,Liverpool,True,0,0,66,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-57,28923,2347,2404
rayan vitor_simplício rocha,Bournemouth,MD,6.4,5,Liverpool,True,87,2,67,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,0,0,17,8.4,16.9,8.0,3.3,1,1,2,4,1,0.00,0.35,0.35,1.40,64,-30627,173374,4733,35360
marcus_tavernier,Bournemouth,MD,6.1,5,Liverpool,True,74,2,68,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,0,0,14,10.8,19.1,4.0,3.4,0,3,3,6,1,0.00,0.11,0.11,1.40,61,257318,709800,318303,60985
alex_scott,Bournemouth,MD,6.1,5,Liverpool,True,90,2,69,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,0,0,17,8.2,40.5,13.0,6.2,0,8,0,8,1,0.12,0.07,0.19,1.65,61,-5057,624564,72063,77120
justin_kluivert,Bournemouth,MD,6.0,5,Liverpool,True,0,0,70,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,3462,110738,14541,11079
lewis_cook,Bournemouth,MD,5.0,5,Liverpool,True,15,1,71,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,3,2.8,0.3,0.0,0.3,1,1,0,2,0,0.00,0.00,0.00,0.25,50,-2898,19112,841,3739
ben_gannon-doak,Bournemouth,MD,4.9,5,Liverpool,True,2,1,72,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.8,2.0,0.3,0,0,0,0,0,0.00,0.02,0.02,0.25,49,-515,6412,338,853
tyler_adams,Bournemouth,MD,5.0,5,Liverpool,True,87,4,73,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,0,0,13,15.4,12.9,0.0,2.8,5,6,2,13,1,0.00,0.04,0.04,1.40,50,-871,29052,2995,3866
david_brooks,Bournemouth,MD,5.0,5,Liverpool,True,15,1,74,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,4,5.0,21.7,0.0,2.7,0,2,0,2,0,0.00,0.06,0.06,0.25,50,-394,5709,503,897
ryan_christie,Bournemouth,MD,5.0,5,Liverpool,True,74,2,75,49,2026-09-20T13:00:00Z,0,1,False,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.4,27.0,2.4,0,5,0,5,1,0.50,0.01,0.51,1.40,50,-118,3511,541,659
